Original,Changed
"No estoy seguro si puedo ayudarte al mismo tiempo.","No estoy segura si puedo ayudarte al mismo tiempo."
"No estoy seguro si","No estoy segura si"
"no estoy seguro si","no estoy segura si"
"no estoy seguro si puedo","no estoy segura si puedo"
"no estoy seguro si quiero","no estoy segura si quiero"
"no estoy seguro si puedo hablar","no estoy segura si puedo hablar"
"no estoy seguro si puedo recordar","no estoy segura si puedo recordar"
"no estoy seguro si quiero intentar","no estoy segura si quiero intentar"
"no estoy seguro si puedo hablar español","no estoy segura si puedo hablar español"
"no estoy seguro si estoy intentando aprender","no estoy segura si estoy intentando aprender"
"no estoy seguro si puedo recordar una palabra","no estoy segura si puedo recordar una palabra"
"no estoy seguro si quiero hablar español contigo","no estoy segura si quiero hablar español contigo"
"no estoy seguro si puedo ayudarte","no estoy segura si puedo ayudarte"
"no estoy seguro si puedo ayudarte con eso","no estoy segura si puedo ayudarte con eso"
"no estoy seguro si puedo ayudarte en este momento","no estoy segura si puedo ayudarte en este momento"
"no estoy seguro si puedo hacer eso al mismo tiempo","no estoy segura si puedo hacer eso al mismo tiempo"
"no estoy seguro si puedo ayudarte al mismo tiempo","no estoy segura si puedo ayudarte al mismo tiempo"
"no estoy seguro si no te importa hacer eso","no estoy segura si no te importa hacer eso"
"no estoy seguro si te importa ayudarme","no estoy segura si te importa ayudarme"
"No estoy seguro de cuándo","No estoy segura de cuándo"
"No estoy seguro de cuándo comenzar","No estoy segura de cuándo comenzar"
"No estoy seguro de cuándo aprender","No estoy segura de cuándo aprender"
"No estoy seguro de cuándo comenzaste a aprender","No estoy segura de cuándo comenzaste a aprender"
"estoy seguro de","estoy segura de"
"No estoy seguro de si quieres comenzar","No estoy segura de si quieres comenzar"
"No estoy seguro de cuándo quieres comenzar a aprender","No estoy segura de cuándo quieres comenzar a aprender"
"No estoy seguro de cuándo quieres comenzar","No estoy segura de cuándo quieres comenzar"
"Pienso que no estoy seguro de cuándo quieres comenzar","Pienso que no estoy segura de cuándo quieres comenzar"
"No estoy seguro de si quiero esperarte","No estoy segura de si quiero esperarte"
"No estoy seguro de si voy a esperarte","No estoy segura de si voy a esperarte"
"Voy a esperarte, pero no estoy seguro de cuándo","Voy a esperarte, pero no estoy segura de cuándo"
"No estoy seguro de si estoy de acuerdo","No estoy segura de si estoy de acuerdo"
"Estoy de acuerdo, pero no estoy seguro de cuándo","Estoy de acuerdo, pero no estoy segura de cuándo"
"No estoy seguro de si estoy de acuerdo con lo que dijiste","No estoy segura de si estoy de acuerdo con lo que dijiste"
"No estoy seguro de cuándo quieres comenzar, pero estoy de acuerdo con lo que dijiste","No estoy segura de cuándo quieres comenzar, pero estoy de acuerdo con lo que dijiste"
"No estoy seguro de lo que quieres decir sobre tu amigo","No estoy segura de lo que quieres decir sobre tu amigo"
"No estoy seguro de si comprendo lo que dijo","No estoy segura de si comprendo lo que dijo"
"No estoy seguro de lo que quieres decir sobre mi amigo","No estoy segura de lo que quieres decir sobre mi amigo"
"No estoy seguro de si conozco a esas personas","No estoy segura de si conozco a esas personas"
"No estoy seguro de si son personas que hablan español","No estoy segura de si son personas que hablan español"
"No estoy seguro de si quiero hablar con personas que no conozco","No estoy segura de si quiero hablar con personas que no conozco"
"No estoy seguro de si he hecho mucho","No estoy segura de si he hecho mucho"
"No estoy seguro de si puedo hacer eso en un breve tiempo","No estoy segura de si puedo hacer eso en un breve tiempo"
"No estoy seguro de si puedes hacer eso","No estoy segura de si puedes hacer eso"
"Pero no estoy seguro si es verdad.","Pero no estoy segura si es verdad."
"Pero no estoy seguro","Pero no estoy segura"
"Pero no estoy seguro de eso","Pero no estoy segura de eso"
"Pero no estoy seguro, pienso","Pero no estoy segura, pienso"
"Pero no estoy seguro, pienso que es algo más","Pero no estoy segura, pienso que es algo más"
"Pero no estoy seguro de eso, libro interesante","Pero no estoy segura de eso, libro interesante"
"Pero no estoy seguro el domingo por la mañana","Pero no estoy segura el domingo por la mañana"
"Pero no estoy seguro, pienso que es de eso","Pero no estoy segura, pienso que es de eso"
"Pero no estoy seguro de eso, no me importa esperar","Pero no estoy segura de eso, no me importa esperar"
"Pero no estoy seguro, pienso que es algo más de eso","Pero no estoy segura, pienso que es algo más de eso"
"Pero no estoy seguro de eso el próximo mes el domingo por la mañana, no me importa esperar","Pero no estoy segura de eso el próximo mes el domingo por la mañana, no me importa esperar"
"Pero no estoy seguro si es verdad","Pero no estoy segura si es verdad"
"estoy intentando decir mi nombre pero no estoy seguro","estoy intentando decir mi nombre pero no estoy segura"
"Necesitas hacer eso, pero no estoy seguro","Necesitas hacer eso, pero no estoy segura"
"y entonces no estoy seguro","y entonces no estoy segura"
"pero no estoy seguro si podré hacer eso","pero no estoy segura si podré hacer eso"
"pero no estoy seguro si podré venir","pero no estoy segura si podré venir"
"pienso que podré venir pero no estoy seguro","pienso que podré venir pero no estoy segura"
"pero no estoy seguro si podré venir y ayudar","pero no estoy segura si podré venir y ayudar"
"pienso que podré venir y ayudar pero no estoy seguro","pienso que podré venir y ayudar pero no estoy segura"
"Sí, estoy seguro que va a estar bien.","Sí, estoy segura que va a estar bien."
"estoy seguro que","estoy segura que"
"estoy seguro que puede añadir","estoy segura que puede añadir"
"estoy seguro que puede abrir la puerta","estoy segura que puede abrir la puerta"
"estoy seguro que puede continuar jugando este año","estoy segura que puede continuar jugando este año"
"estoy seguro que puede añadir ideas valiosas","estoy segura que puede añadir ideas valiosas"
"estoy seguro que va a estar bien jugando","estoy segura que va a estar bien jugando"
"estoy seguro que va a estar bien este año","estoy segura que va a estar bien este año"
"estoy seguro que fue hace unos días","estoy segura que fue hace unos días"
"estoy seguro que está preocupada por la economía","estoy segura que está preocupada por la economía"
"estoy seguro que está contento de ayudarte","estoy segura que está contento de ayudarte"
"estoy seguro que no está preparado para irse todavía","estoy segura que no está preparado para irse todavía"
"estoy seguro que me gustó su libro mucho","estoy segura que me gustó su libro mucho"
"estoy seguro que qué estaba pasando era sobre la economía","estoy segura que qué estaba pasando era sobre la economía"
"estoy seguro que qué estaba pasando fue hace una semana","estoy segura que qué estaba pasando fue hace una semana"
"estoy seguro que no quería saber sobre la economía","estoy segura que no quería saber sobre la economía"
"estoy seguro que quería salir hace unos días","estoy segura que quería salir hace unos días"
"estoy seguro que fue el viernes por la noche hace una semana","estoy segura que fue el viernes por la noche hace una semana"
"estoy seguro que quería ver a unos amigos viejos hace una semana","estoy segura que quería ver a unos amigos viejos hace una semana"
"estoy seguro que no quería dejarme el viernes por la noche","estoy segura que no quería dejarme el viernes por la noche"
"estoy seguro que no quería dejarme solo","estoy segura que no quería dejarme sola"
"No, estoy seguro de que estará bien.","No, estoy segura de que estará bien."
"estoy seguro de que","estoy segura de que"
"Estoy seguro de que","Estoy segura de que"
"Estoy seguro de que necesitamos","Estoy segura de que necesitamos"
"Estoy seguro de que será","Estoy segura de que será"
"Estoy seguro de que tenemos que","Estoy segura de que tenemos que"
"Estoy seguro de que estará bien","Estoy segura de que estará bien"
"Estoy seguro de que deberíamos preguntar algo","Estoy segura de que deberíamos preguntar algo"
"Estoy seguro de que no tenemos que reservar hoy","Estoy segura de que no tenemos que reservar hoy"
"Estoy seguro de que estará bien hoy","Estoy segura de que estará bien hoy"
"Estoy seguro de que no deberíamos intentar esperar hoy","Estoy segura de que no deberíamos intentar esperar hoy"
"Estoy seguro de que esa es la mejor manera de ir si queremos","Estoy segura de que esa es la mejor manera de ir si queremos"
"Estoy seguro de que esa es la mejor manera de reservar hoy","Estoy segura de que esa es la mejor manera de reservar hoy"
"Estoy seguro de que tenemos que intentar hacer una familia feliz","Estoy segura de que tenemos que intentar hacer una familia feliz"
"Estoy seguro de que lo que hagamos será bueno","Estoy segura de que lo que hagamos será bueno"
"Todavía estoy seguro de que esa es la mejor manera de hacer una familia feliz","Todavía estoy segura de que esa es la mejor manera de hacer una familia feliz"
"Luchan pero estoy seguro de que estará bien hoy","Luchan pero estoy segura de que estará bien hoy"
"Estoy seguro de que todavía luchan pero estará bien hoy","Estoy segura de que todavía luchan pero estará bien hoy"
"Estoy seguro de que no podríamos permitirles ganar todo lo que tenemos","Estoy segura de que no podríamos permitirles ganar todo lo que tenemos"
"Estoy seguro de que no podríamos permitirles ganar todo pero estará bien","Estoy segura de que no podríamos permitirles ganar todo pero estará bien"
"Estoy seguro de que eso está cerca del borde pero estará bien","Estoy segura de que eso está cerca del borde pero estará bien"
"Estoy seguro de que no deberíamos intentar ir demasiado cerca del borde","Estoy segura de que no deberíamos intentar ir demasiado cerca del borde"
"Estoy seguro de que podríamos tener una familia feliz si intentamos","Estoy segura de que podríamos tener una familia feliz si intentamos"
"Estoy seguro de que podríamos tener una botella de vino tinto hoy","Estoy segura de que podríamos tener una botella de vino tinto hoy"
"Estoy seguro de que eso no sería bien si todavía luchan","Estoy segura de que eso no sería bien si todavía luchan"
"Estoy seguro de que no sería un problema si podríamos tener vino","Estoy segura de que no sería un problema si podríamos tener vino"
"Estoy seguro de que estará bien si me preguntas lo que hagamos","Estoy segura de que estará bien si me preguntas lo que hagamos"
"Estoy seguro de que quieren liderar el camino para nosotros","Estoy segura de que quieren liderar el camino para nosotros"
"Estoy seguro de que podríamos hacer una familia feliz el próximo año","Estoy segura de que podríamos hacer una familia feliz el próximo año"
"Estoy seguro de que esas hormigas estarán bien el próximo año","Estoy segura de que esas hormigas estarán bien el próximo año"
"Estoy seguro de que quieren matar esas hormigas pero no importa","Estoy segura de que quieren matar esas hormigas pero no importa"
"Estoy seguro de que necesitan servir si quieren liderar","Estoy segura de que necesitan servir si quieren liderar"
"Estoy seguro de que estará bien si quieren intentar","Estoy segura de que estará bien si quieren intentar"
"Estoy seguro de que quieren que hagamos una familia feliz","Estoy segura de que quieren que hagamos una familia feliz"
"Estoy seguro de que quieren que la gente los quiera si me preguntas","Estoy segura de que quieren que la gente los quiera si me preguntas"
"Estoy seguro de que quieren que la gente los quiera","Estoy segura de que quieren que la gente los quiera"
"Estoy seguro de que no necesitan matar esas hormigas","Estoy segura de que no necesitan matar esas hormigas"
"Estoy seguro de que no necesitan preguntar si me preguntas","Estoy segura de que no necesitan preguntar si me preguntas"
"Estoy seguro de que no necesitan preguntar cuántos años tiene","Estoy segura de que no necesitan preguntar cuántos años tiene"
"Estoy seguro de que ya saben lo que queremos hoy","Estoy segura de que ya saben lo que queremos hoy"
"Estoy seguro de que ya saben que si me preguntas","Estoy segura de que ya saben que si me preguntas"
"Estoy seguro de que se está poniendo mejor si me preguntas","Estoy segura de que se está poniendo mejor si me preguntas"
"Estoy seguro de que se está poniendo débil si me preguntas","Estoy segura de que se está poniendo débil si me preguntas"
"Estoy seguro de que necesitan liderar el camino hoy","Estoy segura de que necesitan liderar el camino hoy"
"Estoy seguro de que necesitan preguntar si me preguntas","Estoy segura de que necesitan preguntar si me preguntas"
"Estoy seguro de que esa es una pregunta tan obvia si me preguntas","Estoy segura de que esa es una pregunta tan obvia si me preguntas"
"Estoy seguro de que la respuesta es tan obvia si me preguntas","Estoy segura de que la respuesta es tan obvia si me preguntas"
"Estoy seguro de que están perdiendo el tiempo de todos hoy","Estoy segura de que están perdiendo el tiempo de todos hoy"
"Estoy seguro de que estamos perdiendo el tiempo si me preguntas","Estoy segura de que estamos perdiendo el tiempo si me preguntas"
"Estoy seguro de que están perdiendo el tiempo de todos","Estoy segura de que están perdiendo el tiempo de todos"
"Estoy seguro de que necesitan asegurarse si me preguntas","Estoy segura de que necesitan asegurarse si me preguntas"
"Estoy seguro de que entienden","Estoy segura de que entienden"
"Estoy seguro de que entienden si me preguntas hoy","Estoy segura de que entienden si me preguntas hoy"
"Estoy seguro de que les gustaría entender si me preguntas","Estoy segura de que les gustaría entender si me preguntas"
"Estoy seguro de que les gustaría amarse","Estoy segura de que les gustaría amarse"
"Estoy seguro de que les gustaría amarse si me preguntas","Estoy segura de que les gustaría amarse si me preguntas"
"Estoy seguro de que están infelices","Estoy segura de que están infelices"
"Estoy seguro de que están infelices si me preguntas hoy","Estoy segura de que están infelices si me preguntas hoy"
"Estoy seguro de que no les gustaría perder tiempo hoy","Estoy segura de que no les gustaría perder tiempo hoy"
"Estoy seguro de que no les gustaría que pienses eso hoy","Estoy segura de que no les gustaría que pienses eso hoy"
"Estoy seguro de que no les gustaría que pienses eso","Estoy segura de que no les gustaría que pienses eso"
"Estoy seguro de que les gustaría visitarnos","Estoy segura de que les gustaría visitarnos"
"Estoy seguro de que les gustaría visitarnos si me preguntas","Estoy segura de que les gustaría visitarnos si me preguntas"
"Estoy seguro de que eso sería bueno si me preguntas","Estoy segura de que eso sería bueno si me preguntas"
"Estoy seguro de que eso sería perfecto si me preguntas","Estoy segura de que eso sería perfecto si me preguntas"
"Estoy seguro de que eso sería perfecto para ellos hoy","Estoy segura de que eso sería perfecto para ellos hoy"
"Quería escribir una carta a su amigo la semana pasada.","Quería escribir una carta a su amiga la semana pasada."
"a su amigo","a su amiga"
"A su amigo aquí","A su amiga aquí"
"Quiero escribir algo a su amigo","Quiero escribir algo a su amiga"
"Quería escribir una carta a su amigo","Quería escribir una carta a su amiga"
"Quería escribir algo a su amigo ayer","Quería escribir algo a su amiga ayer"
"Voy a escribir una carta a su amigo en español","Voy a escribir una carta a su amiga en español"
"quiere cuidar a su amigo","quiere cuidar a su amiga"
"Estoy de acuerdo con lo que dijiste sobre tu amigo.","Estoy de acuerdo con lo que dijiste sobre tu amiga."
"sobre tu amigo","sobre tu amiga"
"Sobre tu amigo","Sobre tu amiga"
"Lo que dijiste sobre tu amigo","Lo que dijiste sobre tu amiga"
"Pensar sobre tu amigo","Pensar sobre tu amiga"
"Quiero preguntarte algo sobre tu amigo","Quiero preguntarte algo sobre tu amiga"
"No comprendo lo que dijiste sobre tu amigo","No comprendo lo que dijiste sobre tu amiga"
"Estoy pensando sobre tu amigo","Estoy pensando sobre tu amiga"
"Quiero hablar contigo sobre tu amigo","Quiero hablar contigo sobre tu amiga"
"Quiero saber más sobre tu amigo cuando quieres comenzar","Quiero saber más sobre tu amiga cuando quieres comenzar"
"No estoy de acuerdo con lo que dijo sobre mi amigo.","No estoy de acuerdo con lo que dijo sobre mi amiga."
"No estoy de acuerdo con lo que dijiste sobre tu amigo","No estoy de acuerdo con lo que dijiste sobre tu amiga"
"No estoy de acuerdo con tu amigo sobre eso","No estoy de acuerdo con tu amiga sobre eso"
"sobre mi amigo","sobre mi amiga"
"Sobre mi amigo","Sobre mi amiga"
"Lo que dijo sobre mi amigo","Lo que dijo sobre mi amiga"
"Pensar sobre mi amigo","Pensar sobre mi amiga"
"Quiero preguntarte algo sobre mi amigo","Quiero preguntarte algo sobre mi amiga"
"No comprendo lo que dijo sobre mi amigo","No comprendo lo que dijo sobre mi amiga"
"Estoy pensando sobre mi amigo","Estoy pensando sobre mi amiga"
"Quiero hablar contigo sobre mi amigo","Quiero hablar contigo sobre mi amiga"
"Desafortunadamente, estoy de acuerdo con lo que dijiste sobre tu amigo","Desafortunadamente, estoy de acuerdo con lo que dijiste sobre tu amiga"
"Desafortunadamente, no estoy de acuerdo con lo que dijo sobre mi amigo","Desafortunadamente, no estoy de acuerdo con lo que dijo sobre mi amiga"
"No estoy preparado para hablar con tu amigo","No estoy preparada para hablar con tu amiga"
"No estoy preparado para hablar con tu amigo todavía","No estoy preparada para hablar con tu amiga todavía"
"Si puedes hablar con tu amigo sobre eso","Si puedes hablar con tu amiga sobre eso"
"lo que dijo nuestro amigo fue muy interesante ayer","lo que dijo nuestra amiga fue muy interesante ayer"
"eres como un amigo","eres como una amiga"
"Eso fue una sorpresa, porque es mi amigo.","Eso fue una sorpresa, porque es mi amiga."
"es mi amigo","es mi amiga"
"creo que es mi amigo","creo que es mi amiga"
"es mi amigo, eso es","es mi amiga, eso es"
"es mi amigo, eso fue una sorpresa","es mi amiga, eso fue una sorpresa"
"creo que es mi amigo como alguien que conocía","creo que es mi amiga como alguien que conocía"
"Esto era donde mi amigo quería reunirse con nosotros.","Esto era donde mi amiga quería reunirse con nosotros."
"donde mi amigo quería","donde mi amiga quería"
"donde mi amigo quería esto","donde mi amiga quería esto"
"donde mi amigo quería preguntarle","donde mi amiga quería preguntarle"
"Esto era donde mi amigo quería hablar con ellos","Esto era donde mi amiga quería hablar con ellos"
"Por supuesto esto era donde mi amigo quería hablar frecuentemente","Por supuesto esto era donde mi amiga quería hablar frecuentemente"
"Esto era donde mi amigo quería trabajar en algo difícil con ellos","Esto era donde mi amiga quería trabajar en algo difícil con ellos"
"Lo siento, amigo","Lo siento, amiga"
"Lo siento que mi amigo quería preguntarle dónde","Lo siento que mi amiga quería preguntarle dónde"
"Lo siento pero necesito hablar con mi amigo sobre el trabajo","Lo siento pero necesito hablar con mi amiga sobre el trabajo"
"Lo siento que necesito hablar con mi amigo","Lo siento que necesito hablar con mi amiga"
"Eso es muy amable de tu parte cuando trabajas con mi amigo","Eso es muy amable de tu parte cuando trabajas con mi amiga"
"por ayudar a mi amigo","por ayudar a mi amiga"
"Es la misma cosa que mi amigo quería","Es la misma cosa que mi amiga quería"
"Mi amigo solía trabajar en una oficina.","Mi amiga solía trabajar en una oficina."
"Mi amigo solía trabajar","Mi amiga solía trabajar"
"Mi amigo solía trabajar para el consejo","Mi amiga solía trabajar para el consejo"
"Mi amigo solía trabajar por la noche pero está contento hasta ahora","Mi amiga solía trabajar por la noche pero está contenta hasta ahora"
"Mi amigo trabaja en una oficina","Mi amiga trabaja en una oficina"
"Mi amigo solía trabajar en una oficina por la noche","Mi amiga solía trabajar en una oficina por la noche"
"Mi amigo está demasiado ocupado en una oficina hoy para cambiar","Mi amiga está demasiado ocupada en una oficina hoy para cambiar"
"Dicen que mi amigo está ocupado","Dicen que mi amiga está ocupada"
"Dicen que mi amigo solía trabajar en una oficina por la noche","Dicen que mi amiga solía trabajar en una oficina por la noche"
"queríamos saber si mi amigo solía trabajar en una oficina","queríamos saber si mi amiga solía trabajar en una oficina"
"queríamos saber qué iba a pasar con mi amigo por la noche","queríamos saber qué iba a pasar con mi amiga por la noche"
"Un amigo.","Una amiga."
"un amigo","una amiga"
"Un amigo","Una amiga"
"Era un viejo amigo de mi padre.","Era una vieja amiga de mi padre."
"era un amigo","era una amiga"
"un viejo amigo","una vieja amiga"
"amigo de mi padre","amiga de mi padre"
"¿Has sabido de tu amigo?","¿Has sabido de tu amiga?"
"has sabido de tu amigo","has sabido de tu amiga"
"de tu amigo","de tu amiga"
"tengo un amigo","tengo una amiga"
"he sabido de tu amigo","he sabido de tu amiga"
"Conozco a esa mujer joven que está hablando con tu amigo.","Conozco a esa mujer joven que está hablando con tu amiga."
"conozco al hombre que está hablando con tu amigo","conozco al hombre que está hablando con tu amiga"
"con tu amigo","con tu amiga"
"la mujer está hablando con tu amigo","la mujer está hablando con tu amiga"
"conozco a la mujer que está hablando con tu amigo","conozco a la mujer que está hablando con tu amiga"
"la mujer joven está hablando con tu amigo ahora mismo","la mujer joven está hablando con tu amiga ahora mismo"
"hablando con tu amigo","hablando con tu amiga"
"hablando con tu amigo ahora","hablando con tu amiga ahora"
"la mujer que está hablando con tu amigo","la mujer que está hablando con tu amiga"
"esa mujer joven hablando con tu amigo es mi hermana","esa mujer joven hablando con tu amiga es mi hermana"
"la mujer hablando con tu amigo quiere sentarse","la mujer hablando con tu amiga quiere sentarse"
"el hombre joven que está sentado es mi amigo","el hombre joven que está sentado es mi amiga"
"el hombre está sentado y hablando con tu amigo","el hombre está sentado y hablando con tu amiga"
"el hombre joven que está sentado allí es mi amigo","el hombre joven que está sentado allí es mi amiga"
"la he visto hablando con tu amigo","la he visto hablando con tu amiga"
"Tu amigo dijo que ella no podía alcanzar la cima.","Tu amiga dijo que ella no podía alcanzar la cima."
"ella no podía ver a tu amigo","ella no podía ver a tu amiga"
"tu amigo dijo que ella no podía","tu amiga dijo que ella no podía"
"tu amigo dijo que ella no podía alcanzar","tu amiga dijo que ella no podía alcanzar"
"tu amigo no podía alcanzar la cima","tu amiga no podía alcanzar la cima"
"tu amigo dijo que ella necesitaba alcanzar la cima","tu amiga dijo que ella necesitaba alcanzar la cima"
"tu amigo dijo que él no necesitaba alcanzar la cima","tu amiga dijo que él no necesitaba alcanzar la cima"
"Tu amigo dijo que él podía girar a la izquierda.","Tu amiga dijo que él podía girar a la izquierda."
"tu amigo dijo que","tu amiga dijo que"
"tu amigo dijo que ellos tenían algo","tu amiga dijo que ellos tenían algo"
"tu amigo dijo que ella necesitaba correr","tu amiga dijo que ella necesitaba correr"
"tu amigo dijo que ella solo quería correr","tu amiga dijo que ella solo quería correr"
"tu amigo dijo que ella quería enviarle un mensaje","tu amiga dijo que ella quería enviarle un mensaje"
"tu amigo dijo que ella necesitaba enviarle un mensaje","tu amiga dijo que ella necesitaba enviarle un mensaje"
"tu amigo dijo que él no necesitaba aparecer enojado","tu amiga dijo que él no necesitaba aparecer enojado"
"tu amigo dijo que ella solo quería enviarle un mensaje","tu amiga dijo que ella solo quería enviarle un mensaje"
"tu amigo dijo que ella necesitaba correr alrededor del campo","tu amiga dijo que ella necesitaba correr alrededor del campo"
"tu amigo dijo que ella solo quería correr alrededor del campo","tu amiga dijo que ella solo quería correr alrededor del campo"
"tu amigo dijo que él podía correr","tu amiga dijo que él podía correr"
"tu amigo dijo que él podía aparecer enojado","tu amiga dijo que él podía aparecer enojado"
"tu amigo dijo que él podía alcanzar la cima","tu amiga dijo que él podía alcanzar la cima"
"tu amigo dijo que él podía correr alrededor del campo","tu amiga dijo que él podía correr alrededor del campo"
"tu amigo dijo que él podía girar","tu amiga dijo que él podía girar"
"tu amigo dijo que él podía girar alrededor del campo","tu amiga dijo que él podía girar alrededor del campo"
"tu amigo solo quería girar a la izquierda","tu amiga solo quería girar a la izquierda"
"tu amigo no necesitaba girar a la izquierda","tu amiga no necesitaba girar a la izquierda"
"tu amigo dijo que ella solo quería girar a la izquierda","tu amiga dijo que ella solo quería girar a la izquierda"
"¿Tu amigo dijo algo más?","¿Tu amiga dijo algo más?"
"tu amigo dijo","tu amiga dijo"
"tu amigo dijo no","tu amiga dijo no"
"tu amigo dijo que él podía","tu amiga dijo que él podía"
"tu amigo dijo que ella solo quería","tu amiga dijo que ella solo quería"
"tu amigo dijo que ella no podía alcanzar la cima","tu amiga dijo que ella no podía alcanzar la cima"
"tu amigo dijo que él podía girar a la izquierda","tu amiga dijo que él podía girar a la izquierda"
"tu amigo dijo algo","tu amiga dijo algo"
"tu amigo dijo algo importante","tu amiga dijo algo importante"
"tu amigo dijo algo importante que discutir","tu amiga dijo algo importante que discutir"
"ellos tenían algo importante que discutir, tu amigo dijo algo","ellos tenían algo importante que discutir, tu amiga dijo algo"
"tu amigo dijo algo más","tu amiga dijo algo más"
"tu amigo dijo algo más importante","tu amiga dijo algo más importante"
"tu amigo dijo algo más importante que discutir","tu amiga dijo algo más importante que discutir"
"sí, tu amigo dijo algo más importante que discutir","sí, tu amiga dijo algo más importante que discutir"
"Él estaba callado, tu amigo dijo que","Él estaba callado, tu amiga dijo que"
"Él estaba callado, tu amigo dijo que él no podía hablar","Él estaba callado, tu amiga dijo que él no podía hablar"
"él estaba bastante callado, tu amigo dijo que","él estaba bastante callado, tu amiga dijo que"
"él estaba bastante callado, tu amigo dijo que ella no podía hablar","él estaba bastante callado, tu amiga dijo que ella no podía hablar"
"Tu amigo estaba callado después de que te fuiste","Tu amiga estaba callada después de que te fuiste"
"Tu amigo dijo que él estaba callado después de que te fuiste","Tu amiga dijo que él estaba callado después de que te fuiste"
"Tu amigo estaba bastante callado después de que te fuiste","Tu amiga estaba bastante callada después de que te fuiste"
"Tu amigo dijo que él tenía ganas de hablar mucho","Tu amiga dijo que él tenía ganas de hablar mucho"
"Sí tu amigo dijo que él tenía ganas de hablar mucho","Sí tu amiga dijo que él tenía ganas de hablar mucho"
"Tu amigo dijo que él tenía ganas de hablar mucho después de que te fuiste","Tu amiga dijo que él tenía ganas de hablar mucho después de que te fuiste"
"Sí tu amigo dijo que él tenía ganas de hablar mucho después de que te fuiste","Sí tu amiga dijo que él tenía ganas de hablar mucho después de que te fuiste"
"Escuché que tu amigo dijo algo más","Escuché que tu amiga dijo algo más"
"Escuché que tu amigo dijo que él podía girar a la izquierda","Escuché que tu amiga dijo que él podía girar a la izquierda"
"tu amigo dijo que a él no le gustó ese lugar","tu amiga dijo que a él no le gustó ese lugar"
"tu amigo dijo que a él no le gustó ese lugar, él no podía alcanzar la cima","tu amiga dijo que a él no le gustó ese lugar, él no podía alcanzar la cima"
"tu amigo dijo que a él no le gustó ese lugar, él estaba bastante callado después de que te fuiste","tu amiga dijo que a él no le gustó ese lugar, él estaba bastante callado después de que te fuiste"
"No escuché a tu amigo","No escuché a tu amiga"
"No escuché a tu amigo, él estaba bastante callado","No escuché a tu amiga, él estaba bastante callado"
"No escuché que tu amigo dijo algo más","No escuché que tu amiga dijo algo más"
"No escuché que tu amigo dijo que él quería alcanzar la cima después de que te fuiste","No escuché que tu amiga dijo que él quería alcanzar la cima después de que te fuiste"
"Tu amigo dijo lo que ella le dijo a él","Tu amiga dijo lo que ella le dijo a él"
"Escuché que tu amigo dijo lo que ella le dijo a él","Escuché que tu amiga dijo lo que ella le dijo a él"
"Tu amigo dijo que no escuché lo que ella le dijo a él","Tu amiga dijo que no escuché lo que ella le dijo a él"
"Después de que te fuiste, tu amigo dijo que no escuché lo que ella le dijo a él","Después de que te fuiste, tu amiga dijo que no escuché lo que ella le dijo a él"
"Tu amigo dijo lo que él quería cultivar","Tu amiga dijo lo que él quería cultivar"
"Escuché que tu amigo dijo lo que él quería cultivar","Escuché que tu amiga dijo lo que él quería cultivar"
"Escuchaste que tu amigo dijo lo que él quería cultivar después de que te fuiste","Escuchaste que tu amiga dijo lo que él quería cultivar después de que te fuiste"
"Tu amigo me dijo que él quería cultivar tomates","Tu amiga me dijo que él quería cultivar tomates"
"Tu amigo dijo que él quería cultivar tomates después de que te fuiste","Tu amiga dijo que él quería cultivar tomates después de que te fuiste"
"Ese niño con el pelo negro enfrente de la oficina de correos.","Esa niña con el pelo negro enfrente de la oficina de correos."
"ese niño","esa niña"
"Ese niño está caminando","Esa niña está caminando"
"ese niño cerca de la entrada","esa niña cerca de la entrada"
"Ese niño está de pie","Esa niña está de pie"
"ese niño con el que trabajas","esa niña con el que trabajas"
"Ese niño está cerca del autobús","Esa niña está cerca del autobús"
"No pensé que ese niño tenía razón","No pensé que esa niña tenía razón"
"Ese niño quería seguirnos hacia el autobús","Esa niña quería seguirnos hacia el autobús"
"Estuve de acuerdo con lo que ese niño dijo hace un momento","Estuve de acuerdo con lo que esa niña dijo hace un momento"
"ese niño con el pelo negro","esa niña con el pelo negro"
"Ese niño con el pelo negro está caminando","Esa niña con el pelo negro está caminando"
"Ese niño con el pelo negro está cerca de la entrada","Esa niña con el pelo negro está cerca de la entrada"
"Ese niño con el pelo negro quería ponerlo en el jardín","Esa niña con el pelo negro quería ponerlo en el jardín"
"Ese niño está de pie enfrente de la oficina de correos","Esa niña está de pie enfrente de la oficina de correos"
"No pensé que ese niño enfrente de la oficina de correos quería seguirnos","No pensé que esa niña enfrente de la oficina de correos quería seguirnos"
"Ese niño con el pelo negro quería ponerlo enfrente de la oficina de correos","Esa niña con el pelo negro quería ponerlo enfrente de la oficina de correos"
"Ese niño con la camisa verde.","Esa niña con la camisa verde."
"ese niño está de pie","esa niña está de pie"
"ese niño está caminando","esa niña está caminando"
"ese niño está caminando hacia el autobús","esa niña está caminando hacia el autobús"
"ese niño está de pie cerca de la oficina de correos","esa niña está de pie cerca de la oficina de correos"
"ese niño con el pelo negro está de pie","esa niña con el pelo negro está de pie"
"pensé que ese niño tenía razón","pensé que esa niña tenía razón"
"ese niño con el pelo negro está caminando hacia el autobús","esa niña con el pelo negro está caminando hacia el autobús"
